eh,é
sr,senhor
mg,amigo
prof,professora
grupin,grupinho
krl,karalho
ct,contigo
hepta,heptacampeonato
rolesin,rolezinho
jsto,justo
mgk,mágika
fics,fanfics
dmais,demais
cnvs,conversar
mbytes,megabytes
hetero,heterosexual
lgd,ligado
promo,promoção
peq,pequena
flu,fluminense
hoj,hoje
secr,secar
dx,deixa
fessor,professor
historia,história
historias,histórias
aniversario,aniversário
aniversarios,aniversários
